sucursal_id,action,timestamp_lvt,details
0,Recibida 'tarea a',0,Evento T_E=88
0,Checkpoint Creado,0,
0,Procesada 'tarea a',88,
0,Procesada 'tarea b' (Interna),93,Duración: 5
0,Recibida 'tarea a',93,Evento T_E=195
0,Checkpoint Creado,93,
0,Procesada 'tarea a',195,
0,Procesada 'tarea b' (Interna),198,Duración: 3
0,Recibida 'tarea a',198,Evento T_E=229
0,Checkpoint Creado,198,
0,Procesada 'tarea a',229,
0,Procesada 'tarea b' (Interna),230,Duración: 1
0,Recibida 'tarea a',230,Evento T_E=251
0,Checkpoint Creado,230,
0,Procesada 'tarea a',251,
0,Procesada 'tarea b' (Interna),256,Duración: 5
0,Recibida 'tarea a',256,Evento T_E=334
0,Checkpoint Creado,256,
0,Procesada 'tarea a',334,
0,Procesada 'tarea b' (Interna),338,Duración: 4
0,Recibida 'tarea a',338,Evento T_E=404
0,Checkpoint Creado,338,
0,Procesada 'tarea a',404,
0,Procesada 'tarea b' (Interna),405,Duración: 1
0,Recibida 'tarea a',405,Evento T_E=476
0,Checkpoint Creado,405,
0,Procesada 'tarea a',476,
0,Procesada 'tarea b' (Interna),479,Duración: 3
0,Recibida 'tarea a',479,Evento T_E=483
0,Checkpoint Creado,479,
0,Procesada 'tarea a',483,
0,Procesada 'tarea b' (Interna),486,Duración: 3
0,Recibida 'tarea a',486,Evento T_E=510
0,Checkpoint Creado,486,
0,Procesada 'tarea a',510,
0,Procesada 'tarea b' (Interna),513,Duración: 3
0,Recibida 'tarea a',513,Evento T_E=555
0,Checkpoint Creado,513,
0,Procesada 'tarea a',555,
0,Procesada 'tarea b' (Interna),557,Duración: 2
0,Recibida 'tarea a',557,Evento T_E=665
0,Checkpoint Creado,557,
0,Procesada 'tarea a',665,
0,Procesada 'tarea b' (Interna),666,Duración: 1
0,Recibida 'tarea a',666,Evento T_E=668
0,Checkpoint Creado,666,
0,Procesada 'tarea a',668,
0,Procesada 'tarea b' (Interna),669,Duración: 1
0,Recibida 'tarea a',669,Evento T_E=711
0,Checkpoint Creado,669,
0,Procesada 'tarea a',711,
0,Procesada 'tarea b' (Interna),716,Duración: 5
0,Recibida 'tarea a',716,Evento T_E=739
0,Checkpoint Creado,716,
0,Procesada 'tarea a',739,
0,Procesada 'tarea b' (Interna),743,Duración: 4
0,Recibida 'tarea a',743,Evento T_E=761
0,Checkpoint Creado,743,
0,Procesada 'tarea a',761,
0,Procesada 'tarea b' (Interna),764,Duración: 3
0,Recibida 'tarea a',764,Evento T_E=849
0,Checkpoint Creado,764,
0,Procesada 'tarea a',849,
0,Procesada 'tarea b' (Interna),851,Duración: 2
0,Recibida 'tarea a',851,Evento T_E=958
0,Checkpoint Creado,851,
0,Procesada 'tarea a',958,
0,Procesada 'tarea b' (Interna),962,Duración: 4
0,Recibida 'tarea a',962,Evento T_E=968
0,Checkpoint Creado,962,
0,Procesada 'tarea a',968,
0,Procesada 'tarea b' (Interna),973,Duración: 5
0,Recibida 'tarea a',973,Evento T_E=992
0,Checkpoint Creado,973,
0,Procesada 'tarea a',992,
0,Procesada 'tarea b' (Interna),995,Duración: 3
0,Recibida 'tarea a',995,Evento T_E=1018
0,Checkpoint Creado,995,
0,Procesada 'tarea a',1018,
0,Procesada 'tarea b' (Interna),1021,Duración: 3
0,Recibida 'tarea a',1021,Evento T_E=1066
0,Checkpoint Creado,1021,
0,Procesada 'tarea a',1066,
0,Procesada 'tarea b' (Interna),1071,Duración: 5
0,Recibida 'tarea a',1071,Evento T_E=1074
0,Checkpoint Creado,1071,
0,Procesada 'tarea a',1074,
0,Procesada 'tarea b' (Interna),1078,Duración: 4
0,Recibida 'tarea a',1078,Evento T_E=1133
0,Checkpoint Creado,1078,
0,Procesada 'tarea a',1133,
0,Procesada 'tarea b' (Interna),1134,Duración: 1
0,Recibida 'tarea a',1134,Evento T_E=1207
0,Checkpoint Creado,1134,
0,Procesada 'tarea a',1207,
0,Procesada 'tarea b' (Interna),1212,Duración: 5
0,Recibida 'tarea a',1212,Evento T_E=1213
0,Checkpoint Creado,1212,
0,Procesada 'tarea a',1213,
0,Procesada 'tarea b' (Interna),1218,Duración: 5
0,Recibida 'tarea a',1218,Evento T_E=1219
0,Checkpoint Creado,1218,
0,Procesada 'tarea a',1219,
0,Procesada 'tarea b' (Interna),1223,Duración: 4
0,Recibida 'tarea a',1223,Evento T_E=1222
0,Rollback Iniciado,1223,T_E=1222 < LVT=1223
0,Rollback: Checkpoint Restaurado,1218,Restaurado a T=1218
0,Rollback: Checkpoint Creado,1218,
0,Rollback: Reprocesada 'tarea a',1219,
0,Rollback: Reprocesada 'tarea b',1223,Duración: 4
0,Rollback: Checkpoint Creado,1223,
0,Rollback: Reprocesada 'tarea a',1223,
0,Rollback: Reprocesada 'tarea b',1226,Duración: 3
0,Rollback Terminado,1226,
0,Recibida 'tarea a',1226,Evento T_E=1227
0,Checkpoint Creado,1226,
0,Procesada 'tarea a',1227,
0,Procesada 'tarea b' (Interna),1229,Duración: 2
0,Recibida 'tarea a',1229,Evento T_E=1292
0,Checkpoint Creado,1229,
0,Procesada 'tarea a',1292,
0,Procesada 'tarea b' (Interna),1294,Duración: 2
0,Recibida 'tarea a',1294,Evento T_E=1297
0,Checkpoint Creado,1294,
0,Procesada 'tarea a',1297,
0,Procesada 'tarea b' (Interna),1301,Duración: 4
0,Recibida 'tarea a',1301,Evento T_E=1313
0,Checkpoint Creado,1301,
0,Procesada 'tarea a',1313,
0,Procesada 'tarea b' (Interna),1314,Duración: 1
0,Recibida 'tarea a',1314,Evento T_E=1353
0,Checkpoint Creado,1314,
0,Procesada 'tarea a',1353,
0,Procesada 'tarea b' (Interna),1357,Duración: 4
0,Recibida 'tarea a',1357,Evento T_E=1366
0,Checkpoint Creado,1357,
0,Procesada 'tarea a',1366,
0,Procesada 'tarea b' (Interna),1371,Duración: 5
0,Recibida 'tarea a',1371,Evento T_E=1433
0,Checkpoint Creado,1371,
0,Procesada 'tarea a',1433,
0,Procesada 'tarea b' (Interna),1438,Duración: 5
0,Recibida 'tarea a',1438,Evento T_E=1537
0,Checkpoint Creado,1438,
0,Procesada 'tarea a',1537,
0,Procesada 'tarea b' (Interna),1541,Duración: 4
0,Recibida 'tarea a',1541,Evento T_E=1550
0,Checkpoint Creado,1541,
0,Procesada 'tarea a',1550,
0,Procesada 'tarea b' (Interna),1553,Duración: 3
0,Recibida 'tarea a',1553,Evento T_E=1555
0,Checkpoint Creado,1553,
0,Procesada 'tarea a',1555,
0,Procesada 'tarea b' (Interna),1556,Duración: 1
0,Recibida 'tarea a',1556,Evento T_E=1596
0,Checkpoint Creado,1556,
0,Procesada 'tarea a',1596,
0,Procesada 'tarea b' (Interna),1600,Duración: 4
0,Recibida 'tarea a',1600,Evento T_E=1634
0,Checkpoint Creado,1600,
0,Procesada 'tarea a',1634,
0,Procesada 'tarea b' (Interna),1637,Duración: 3
0,Recibida 'tarea a',1637,Evento T_E=1691
0,Checkpoint Creado,1637,
0,Procesada 'tarea a',1691,
0,Procesada 'tarea b' (Interna),1695,Duración: 4
0,Recibida 'tarea a',1695,Evento T_E=1738
0,Checkpoint Creado,1695,
0,Procesada 'tarea a',1738,
0,Procesada 'tarea b' (Interna),1743,Duración: 5
0,Recibida 'tarea a',1743,Evento T_E=1824
0,Checkpoint Creado,1743,
0,Procesada 'tarea a',1824,
0,Procesada 'tarea b' (Interna),1829,Duración: 5
0,Recibida 'tarea a',1829,Evento T_E=1855
0,Checkpoint Creado,1829,
0,Procesada 'tarea a',1855,
0,Procesada 'tarea b' (Interna),1858,Duración: 3
0,Recibida 'tarea a',1858,Evento T_E=1879
0,Checkpoint Creado,1858,
0,Procesada 'tarea a',1879,
